f [Hz];sf [Hz];Vs [V];sVs [V];Vout [V];sVout [V];A;sA;status
100;10;0,496;0,02;0,496;0,02;1;;1
1000;100;0,496;0,02;0,496;0,02;1;;1
10000;1000;0,496;0,02;0,496;0,02;1;;1
70000;7000;0,492;0,02;0,488;0,02;0,99;;1
100000;10000;0,492;0,02;0,484;0,02;0,98;;1
150000;15000;0,476;0,02;0,464;0,02;0,97;;1
170000;17000;0,476;0,02;0,46;0,02;0,97;;1
185000;18500;0,476;0,02;0,456;0,02;0,96;;1
200000;20000;0,476;0,02;0,452;0,02;0,95;;1
300000;30000;0,476;0,02;0,428;0,02;0,9;;1
400000;40000;0,476;0,02;0,388;0,02;0,82;;1
500000;50000;0,476;0,02;0,348;0,02;0,73;;1
600000;60000;0,476;0,02;0,31;0,01;0,65;;1
700000;70000;0,476;0,02;0,278;0,01;0,58;;1
900000;90000;0,48;0,02;0,228;0,01;0,48;;1
1000000;100000;0,48;0,02;0,19;0,01;0,4;;1
1200000;120000;0,48;0,02;0,174;0,01;0,36;;1
1400000;140000;0,48;0,02;0,152;0,01;0,32;;1